"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Linoleic acid metabolism",5,0.90968,2,0.22602,0.64585,1,1,0
"Valine, leucine and isoleucine biosynthesis",8,1.4555,2,0.44281,0.35379,1,1,0
"Tryptophan metabolism",41,7.4594,8,0.47665,0.3218,1,1,0.43947
"D-Arginine and D-ornithine metabolism",4,0.72774,1,0.55252,0.25765,1,1,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.72774,1,0.55252,0.25765,1,1,0.5
"Phenylalanine metabolism",10,1.8194,2,0.5679,0.24573,1,1,0.35714
"Primary bile acid biosynthesis",46,8.369,8,0.61836,0.20876,1,1,0.19852
"Synthesis and degradation of ketone bodies",5,0.90968,1,0.63414,0.19781,1,1,0
"alpha-Linolenic acid metabolism",13,2.3652,2,0.71523,0.14556,1,1,0.33333
"Steroid hormone biosynthesis",85,15.465,13,0.80237,0.095624,1,1,0.14878
"Porphyrin and chlorophyll metabolism",30,5.4581,4,0.82401,0.08407,1,1,0.14152
"Vitamin B6 metabolism",9,1.6374,1,0.83676,0.077401,1,1,0.07843
"Retinol metabolism",17,3.0929,2,0.84415,0.073581,1,1,0.21649
"Pantothenate and CoA biosynthesis",19,3.4568,2,0.8864,0.05237,1,1,0
"Tyrosine metabolism",42,7.6413,5,0.90466,0.043517,1,1,0.13337
"Sphingolipid metabolism",21,3.8206,2,0.91785,0.03723,1,1,0.02434
"Arginine and proline metabolism",38,6.9135,4,0.93584,0.028798,1,1,0.15481
"Arginine biosynthesis",14,2.5471,1,0.94066,0.026565,1,1,0.22843
"Butanoate metabolism",15,2.729,1,0.95156,0.021565,1,1,0
"Nicotinate and nicotinamide metabolism",15,2.729,1,0.95156,0.021565,1,1,0
"Glycine, serine and threonine metabolism",33,6.0039,3,0.95599,0.019549,1,1,0.29611
"Lysine degradation",25,4.5484,2,0.95786,0.018699,1,1,0.02347
"Biosynthesis of unsaturated fatty acids",36,6.5497,3,0.97219,0.012247,1,1,0
"Glycerophospholipid metabolism",36,6.5497,3,0.97219,0.012247,1,1,0.0655
"Ether lipid metabolism",20,3.6387,1,0.98247,0.007681,1,1,0
"Citrate cycle (TCA cycle)",20,3.6387,1,0.98247,0.007681,1,1,0.04412
"Pyrimidine metabolism",39,7.0955,3,0.98265,0.0076028,1,1,0.02769
"Aminoacyl-tRNA biosynthesis",48,8.7329,4,0.98442,0.0068198,1,1,0
"Valine, leucine and isoleucine degradation",40,7.2774,3,0.98521,0.006473,1,1,0.03795
"Glyoxylate and dicarboxylate metabolism",32,5.8219,2,0.98751,0.0054595,1,1,0.10582
"Pyruvate metabolism",22,4.0026,1,0.98834,0.0050946,1,1,0.0311
"Propanoate metabolism",23,4.1845,1,0.99049,0.0041499,1,1,0
"Fatty acid biosynthesis",47,8.551,3,0.9953,0.0020455,1,1,0.01473
"Folate biosynthesis",27,4.9123,1,0.9958,0.0018273,1,1,0
"Fatty acid elongation",39,7.0955,2,0.99646,0.0015406,1,1,0.00274
"Fatty acid degradation",39,7.0955,2,0.99646,0.0015406,1,1,0.00335
"Alanine, aspartate and glutamate metabolism",28,5.0942,1,0.99658,0.0014884,1,1,0
"Glutathione metabolism",28,5.0942,1,0.99658,0.0014884,1,1,0.08873
"Arachidonic acid metabolism",36,6.5497,1,0.99934,0.00028731,1,1,0.07615
"Drug metabolism - other enzymes",39,7.0955,1,0.99964,0.00015472,1,1,0
"Purine metabolism",65,11.826,3,0.9998,8.8848e-05,1,1,0.01217
"Steroid biosynthesis",42,7.6413,1,0.99981,8.3208e-05,1,1,0.00344
"Drug metabolism - cytochrome P450",55,10.006,1,0.99999,5.5729e-06,1,1,0.04348
"Metabolism of xenobiotics by cytochrome P450",68,12.372,1,1,3.6361e-07,1,1,0
