"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0167366","NA","NA","NA","NA","NA","0"
"HMDB0094692","NA","NA","NA","NA","NA","0"
"HMDB0041945","NA","NA","NA","NA","NA","0"
"HMDB0167367","NA","NA","NA","NA","NA","0"
"HMDB0167365","NA","NA","NA","NA","NA","0"
"HMDB0240305","NA","NA","NA","NA","NA","0"
"HMDB0031654","3-Aminobutanoic acid","HMDB0031654","10932",NA,"CC(CC(=O)O)N","1"
"HMDB0094693","NA","NA","NA","NA","NA","0"
"HMDB0002166","(S)-b-aminoisobutyric acid","HMDB0002166","439434","C03284","C[C@@H](CN)C(=O)O","1"
"HMDB0000452","L-Alpha-aminobutyric acid","HMDB0000452","80283","C02356","CC[C@@H](C(=O)O)N","1"
"HMDB0002299","(R)-b-aminoisobutyric acid","HMDB0002299","5459822","C01205","C[C@H](CN)C(=O)O","1"
"HMDB0001906","2-Aminoisobutyric acid","HMDB0001906","6119","C03665","CC(C)(C(=O)O)N","1"
"HMDB0003911","3-Aminoisobutanoic acid","HMDB0003911","64956","C05145","CC(CN)C(=O)O","1"
"HMDB0000112","Gamma-Aminobutyric acid","HMDB0000112","223130","C00334","C(CC(=O)O)CN","1"
"HMDB0038394","NA","NA","NA","NA","NA","0"
"HMDB0031329","Butyl nitrite","HMDB0031329","10996",NA,"CCCCON=O","1"
"HMDB0000092","Dimethylglycine","HMDB0000092","673","C01026","CN(C)CC(=O)O","1"
"HMDB0000650","D-Alpha-aminobutyric acid","HMDB0000650","439691","C02261","CC[C@H](C(=O)O)N","1"
"HMDB0061050","NA","NA","NA","NA","NA","0"
"HMDB0167139","NA","NA","NA","NA","NA","0"
"HMDB0167138","NA","NA","NA","NA","NA","0"
"HMDB0000549","Gamma-Butyrolactone","HMDB0000549","7302","C01770","C1CC(=O)OC1","1"
"HMDB0002523","Oxolan-3-one","HMDB0002523","529392",NA,"C1COCC1=O","1"
"HMDB0003407","Diacetyl","HMDB0003407","650","C00741","CC(=O)C(=O)C","1"
"HMDB0031209","Ethenyl acetate","HMDB0031209","7904","C19309","CC(=O)OC=C","1"
"HMDB0034439","Isocrotonic acid","HMDB0034439","643792",NA,"C/C=C\C(=O)O","1"
"HMDB0033977","Methyl acrylate","HMDB0033977","7294","C19443","COC(=O)C=C","1"
"HMDB0174868","NA","NA","NA","NA","NA","0"
"HMDB0010720","But-2-enoic acid","HMDB0010720","637090","C01771","C/C=C/C(=O)O","1"
"HMDB0240288","NA","NA","NA","NA","NA","0"
"HMDB0161316","NA","NA","NA","NA","NA","0"
"HMDB0002994","Erythritol","HMDB0002994","222285","C00503","C([C@H]([C@H](CO)O)O)O","1"
"HMDB0004136","D-Threitol","HMDB0004136","222285","C16884","C([C@H]([C@@H](CO)O)O)O","1"
"HMDB0094689","NA","NA","NA","NA","NA","0"
"HMDB0165469","NA","NA","NA","NA","NA","0"
"HMDB0165470","NA","NA","NA","NA","NA","0"
"HMDB0062640","NA","NA","NA","NA","NA","0"
"HMDB0126088","NA","NA","NA","NA","NA","0"
"HMDB0000710","4-Hydroxybutyric acid","HMDB0000710","10413","C01991","C(CC(=O)O)CO","1"
"HMDB0000442","(S)-3-Hydroxybutyric acid","HMDB0000442","94318","C03197","C[C@@H](CC(=O)O)O","1"
"HMDB0000357","3-Hydroxybutyric acid","HMDB0000357","441","C01089","CC(CC(=O)O)O","1"
"HMDB0000336","(R)-3-Hydroxyisobutyric acid","HMDB0000336","11217234",NA,"C[C@H](CO)C(=O)O","1"
"HMDB0000011","(R)-3-Hydroxybutyric acid","HMDB0000011","92135","C01089","C[C@H](CC(=O)O)O","1"
"HMDB0000023","(S)-3-Hydroxyisobutyric acid","HMDB0000023","87","C06001","C[C@@H](CO)C(=O)O","1"
"HMDB0000729","Alpha-Hydroxyisobutyric acid","HMDB0000729","11671",NA,"CC(C)(C(=O)O)O","1"
"HMDB0031212","Ethoxyacetic acid","HMDB0031212","12301",NA,"CCOCC(=O)O","1"
"HMDB0059748","NA","NA","NA","NA","NA","0"
"HMDB0000008","2-Hydroxybutyric acid","HMDB0000008","11266","C05984","CCC(C(=O)O)O","1"
"HMDB0015507","Gamma Hydroxybutyric Acid","HMDB0015507","3037032","C00989","C(CC(=O)[O-])CO","1"
"HMDB0061950","NA","NA","NA","NA","NA","0"
"HMDB0000532","Acetylglycine","HMDB0000532","10972",NA,"CC(=O)NCC(=O)O","1"
"HMDB0006454","L-2-Amino-3-oxobutanoic acid","HMDB0006454","440033","C03508","CC(=O)[C@@H](C(=O)O)N","1"
"HMDB0012249","L-Aspartate-semialdehyde","HMDB0012249","439235","C00441","C(C=O)[C@@H](C(=O)O)N","1"
"HMDB0161181","NA","NA","NA","NA","NA","0"
"HMDB0187639","NA","NA","NA","NA","NA","0"
