"","total","expected","hits","Raw p","Holm p","FDR"
"Homocysteine Degradation",9,3.45,1,0.987,1,1
"D-Arginine and D-Ornithine Metabolism",11,4.22,1,0.995,1,1
"Ketone Body Metabolism",13,4.99,1,0.998,1,1
"Threonine and 2-Oxobutanoate Degradation",20,7.68,2,0.999,1,1
"Beta Oxidation of Very Long Chain Fatty Acids",17,6.52,1,1,1,1
"Spermidine and Spermine Biosynthesis",18,6.91,1,1,1,1
"Androstenedione Metabolism",24,9.21,2,1,1,1
"Butyrate Metabolism",19,7.29,1,1,1,1
"Catecholamine Biosynthesis",20,7.68,1,1,1,1
"Vitamin B6 Metabolism",20,7.68,1,1,1,1
"Pantothenate and CoA Biosynthesis",21,8.06,1,1,1,1
"Androgen and Estrogen Metabolism",33,12.7,3,1,1,1
"Sulfate/Sulfite Metabolism",22,8.44,1,1,1,1
"Carnitine Synthesis",22,8.44,1,1,1,1
"Selenoamino Acid Metabolism",28,10.7,2,1,1,1
"Fatty Acid Biosynthesis",35,13.4,3,1,1,1
"Estrone Metabolism",24,9.21,1,1,1,1
"Oxidation of Branched Chain Fatty Acids",26,9.98,1,1,1,1
"Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",27,10.4,1,1,1,1
"Phenylalanine and Tyrosine Metabolism",28,10.7,1,1,1,1
"Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",28,10.7,1,1,1,1
"Urea Cycle",29,11.1,1,1,1,1
"Lysine Degradation",30,11.5,1,1,1,1
"Starch and Sucrose Metabolism",31,11.9,1,1,1,1
"Valine, Leucine and Isoleucine Degradation",60,23,6,1,1,1
"Propanoate Metabolism",42,16.1,2,1,1,1
"Methionine Metabolism",43,16.5,2,1,1,1
"Arginine and Proline Metabolism",53,20.3,3,1,1,1
"Glutamate Metabolism",49,18.8,2,1,1,1
"Fatty acid Metabolism",43,16.5,1,1,1,1
"Glycine and Serine Metabolism",59,22.6,3,1,1,1
"Tryptophan Metabolism",60,23,2,1,1,1
"Arachidonic Acid Metabolism",69,26.5,3,1,1,1
"Purine Metabolism",74,28.4,3,1,1,1
"Tyrosine Metabolism",72,27.6,2,1,1,1
