"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Phenylalanine metabolism",10,2.8581,7,0.0077425,2.1111,0.65037,0.65037,0.7619
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,1.1432,3,0.073109,1.136,1,1,1
"Tyrosine metabolism",42,12.004,14,0.29647,0.52802,1,1,0.42763
"Linoleic acid metabolism",5,1.429,2,0.44248,0.3541,1,1,0
"Primary bile acid biosynthesis",46,13.147,14,0.44478,0.35186,1,1,0.2061
"Retinol metabolism",17,4.8587,5,0.56152,0.25064,1,1,0.21649
"D-Arginine and D-ornithine metabolism",4,1.1432,1,0.74023,0.13063,1,1,0
"Tryptophan metabolism",41,11.718,9,0.87197,0.059496,1,1,0.2184
"alpha-Linolenic acid metabolism",13,3.7155,2,0.92285,0.034869,1,1,0.33333
"Arachidonic acid metabolism",36,10.289,7,0.92616,0.033313,1,1,0.20762
"Valine, leucine and isoleucine biosynthesis",8,2.2865,1,0.9328,0.030212,1,1,0
"Taurine and hypotaurine metabolism",8,2.2865,1,0.9328,0.030212,1,1,0.42857
"Ubiquinone and other terpenoid-quinone biosynthesis",9,2.5723,1,0.95211,0.021315,1,1,0
"Vitamin B6 metabolism",9,2.5723,1,0.95211,0.021315,1,1,0.07843
"One carbon pool by folate",9,2.5723,1,0.95211,0.021315,1,1,0.79206
"Biotin metabolism",10,2.8581,1,0.96587,0.01508,1,1,0.2
"Glycerophospholipid metabolism",36,10.289,6,0.96895,0.013697,1,1,0.21734
"Pantothenate and CoA biosynthesis",19,5.4303,2,0.98606,0.0060946,1,1,0.00714
"Lysine degradation",25,7.1452,3,0.98745,0.0054834,1,1,0.00469
"Ether lipid metabolism",20,5.7161,2,0.98963,0.0045285,1,1,0
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",14,4.0013,1,0.99123,0.0038269,1,1,0.00399
"Arginine biosynthesis",14,4.0013,1,0.99123,0.0038269,1,1,0.22843
"Arginine and proline metabolism",38,10.861,5,0.99338,0.0028829,1,1,0.16693
"Nicotinate and nicotinamide metabolism",15,4.2871,1,0.99376,0.0027197,1,1,0
"Steroid hormone biosynthesis",85,24.294,14,0.99741,0.0011263,1,1,0.19595
"Starch and sucrose metabolism",18,5.1445,1,0.99775,0.00097644,1,1,0
"Terpenoid backbone biosynthesis",18,5.1445,1,0.99775,0.00097644,1,1,0
"Glycine, serine and threonine metabolism",33,9.4316,3,0.99864,0.00058984,1,1,0.25255
"Galactose metabolism",27,7.7168,2,0.99876,0.00054038,1,1,0.03188
"Fructose and mannose metabolism",20,5.7161,1,0.99887,0.00049298,1,1,0
"Sphingolipid metabolism",21,6.0019,1,0.99919,0.00035018,1,1,0
"Biosynthesis of unsaturated fatty acids",36,10.289,3,0.99943,0.00024754,1,1,0
"Steroid biosynthesis",42,12.004,4,0.99943,0.00024657,1,1,0.07152
"Porphyrin and chlorophyll metabolism",30,8.5742,2,0.99951,0.00021263,1,1,0.02799
"Fatty acid degradation",39,11.146,3,0.99976,0.00010239,1,1,0.00335
"Pyrimidine metabolism",39,11.146,3,0.99976,0.00010239,1,1,0.02769
"Cysteine and methionine metabolism",33,9.4316,2,0.99981,8.2768e-05,1,1,0.13818
"Aminoacyl-tRNA biosynthesis",48,13.719,4,0.9999,4.5498e-05,1,1,0.05556
"Folate biosynthesis",27,7.7168,1,0.9999,4.4764e-05,1,1,0.00759
"Alanine, aspartate and glutamate metabolism",28,8.0026,1,0.99993,3.1743e-05,1,1,0
"Glutathione metabolism",28,8.0026,1,0.99993,3.1743e-05,1,1,0.08873
"Fatty acid elongation",39,11.146,2,0.99997,1.2201e-05,1,1,0.00274
"Fatty acid biosynthesis",47,13.433,3,0.99998,9.162e-06,1,1,0.01473
"Glyoxylate and dicarboxylate metabolism",32,9.1458,1,0.99998,8.005e-06,1,1,0.10582
"Amino sugar and nucleotide sugar metabolism",37,10.575,1,1,1.4219e-06,1,1,0
"Drug metabolism - cytochrome P450",55,15.719,3,1,7.6361e-07,1,1,0.01449
"Valine, leucine and isoleucine degradation",40,11.432,1,1,5.025e-07,1,1,0.01084
"Purine metabolism",65,18.577,3,1,3.1582e-08,1,1,0.06117
"Metabolism of xenobiotics by cytochrome P450",68,19.435,2,1,8.1133e-10,1,1,0.08163
