"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Valine, leucine and isoleucine biosynthesis",8,0.50581,5,4.4002e-05,4.3565,0.0036961,0.0036961,0
"D-Glutamine and D-glutamate metabolism",6,0.37935,3,0.0042647,2.3701,0.35397,0.17912,0
"Valine, leucine and isoleucine degradation",40,2.529,5,0.1034,0.98547,1,1,0.02168
"Aminoacyl-tRNA biosynthesis",48,3.0348,5,0.18231,0.7392,1,1,0
"Arginine biosynthesis",14,0.88516,2,0.22025,0.65709,1,1,0
"Nitrogen metabolism",6,0.37935,1,0.32466,0.48858,1,1,0
"Alanine, aspartate and glutamate metabolism",28,1.7703,2,0.53788,0.26932,1,1,0.16186
"Butanoate metabolism",15,0.94839,1,0.6263,0.20322,1,1,0
"Glycine, serine and threonine metabolism",33,2.0865,2,0.62901,0.20134,1,1,0.07648
"Amino sugar and nucleotide sugar metabolism",37,2.3394,2,0.69152,0.1602,1,1,0.09758
"Arginine and proline metabolism",38,2.4026,2,0.70574,0.15135,1,1,0.0778
"Pantothenate and CoA biosynthesis",19,1.2013,1,0.71305,0.14688,1,1,0
"Pyrimidine metabolism",39,2.4658,2,0.71942,0.14302,1,1,0.01584
"Citrate cycle (TCA cycle)",20,1.2645,1,0.73142,0.13583,1,1,0.05856
"beta-Alanine metabolism",21,1.3277,1,0.74862,0.12574,1,1,0
"Glutathione metabolism",28,1.7703,1,0.84204,0.074666,1,1,0.02698
"Glyoxylate and dicarboxylate metabolism",32,2.0232,1,0.87899,0.056014,1,1,0
"Primary bile acid biosynthesis",46,2.9084,1,0.95266,0.021062,1,1,0.00805
"Purine metabolism",65,4.1097,1,0.98695,0.0057069,1,1,0
