"","total","expected","hits","Raw p","Holm p","FDR"
"Phenylacetate Metabolism",9,2.29,1,0.93,1,1
"Androstenedione Metabolism",24,6.12,2,0.993,1,1
"Alanine Metabolism",17,4.33,1,0.994,1,1
"Alpha Linolenic Acid and Linoleic Acid Metabolism",19,4.84,1,0.996,1,1
"Catecholamine Biosynthesis",20,5.1,1,0.997,1,1
"Vitamin B6 Metabolism",20,5.1,1,0.997,1,1
"Glutathione Metabolism",21,5.35,1,0.998,1,1
"Pantothenate and CoA Biosynthesis",21,5.35,1,0.998,1,1
"Carnitine Synthesis",22,5.61,1,0.999,1,1
"Caffeine Metabolism",24,6.12,1,0.999,1,1
"Androgen and Estrogen Metabolism",33,8.41,2,0.999,1,1
"Phospholipid Biosynthesis",29,7.39,1,1,1,1
"Ammonia Recycling",32,8.16,1,1,1,1
"Beta-Alanine Metabolism",34,8.67,1,1,1,1
"Fatty Acid Biosynthesis",35,8.92,1,1,1,1
"Porphyrin Metabolism",40,10.2,1,1,1,1
"Methionine Metabolism",43,11,1,1,1,1
"Bile Acid Biosynthesis",65,16.6,3,1,1,1
"Glutamate Metabolism",49,12.5,1,1,1,1
"Tryptophan Metabolism",60,15.3,2,1,1,1
"Arginine and Proline Metabolism",53,13.5,1,1,1,1
"Glycine and Serine Metabolism",59,15,1,1,1,1
"Pyrimidine Metabolism",59,15,1,1,1,1
"Tyrosine Metabolism",72,18.4,1,1,1,1
"Purine Metabolism",74,18.9,1,1,1,1
