"","total","expected","hits","Raw p","Holm p","FDR"
"Phenylacetate Metabolism",9,6.49,1,1,1,1
"Malate-Aspartate Shuttle",10,7.21,1,1,1,1
"D-Arginine and D-Ornithine Metabolism",11,7.93,1,1,1,1
"Ketone Body Metabolism",13,9.37,1,1,1,1
"Beta Oxidation of Very Long Chain Fatty Acids",17,12.3,2,1,1,1
"Catecholamine Biosynthesis",20,14.4,3,1,1,1
"Vitamin B6 Metabolism",20,14.4,2,1,1,1
"Alanine Metabolism",17,12.3,1,1,1,1
"Pantothenate and CoA Biosynthesis",21,15.1,2,1,1,1
"Carnitine Synthesis",22,15.9,2,1,1,1
"Androstenedione Metabolism",24,17.3,2,1,1,1
"Glutathione Metabolism",21,15.1,1,1,1,1
"Betaine Metabolism",21,15.1,1,1,1,1
"Fatty Acid Biosynthesis",35,25.2,6,1,1,1
"Transfer of Acetyl Groups into Mitochondria",22,15.9,1,1,1,1
"Caffeine Metabolism",24,17.3,1,1,1,1
"Phospholipid Biosynthesis",29,20.9,2,1,1,1
"Oxidation of Branched Chain Fatty Acids",26,18.7,1,1,1,1
"Phytanic Acid Peroxisomal Oxidation",26,18.7,1,1,1,1
"Plasmalogen Synthesis",26,18.7,1,1,1,1
"Androgen and Estrogen Metabolism",33,23.8,3,1,1,1
"Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",27,19.5,1,1,1,1
"Retinol Metabolism",37,26.7,4,1,1,1
"Glycine and Serine Metabolism",59,42.5,4,1,1,1
"Tyrosine Metabolism",72,51.9,5,1,1,1
"Beta-Alanine Metabolism",34,24.5,1,1,1,1
"Ammonia Recycling",32,23.1,1,1,1,1
"Propanoate Metabolism",42,30.3,1,1,1,1
"Arginine and Proline Metabolism",53,38.2,3,1,1,1
"Porphyrin Metabolism",40,28.8,2,1,1,1
"Valine, Leucine and Isoleucine Degradation",60,43.2,3,1,1,1
"Methionine Metabolism",43,31,2,1,1,1
"Bile Acid Biosynthesis",65,46.8,9,1,1,1
"Histidine Metabolism",43,31,1,1,1,1
"Pyrimidine Metabolism",59,42.5,5,1,1,1
"Nicotinate and Nicotinamide Metabolism",37,26.7,1,1,1,1
"Purine Metabolism",74,53.3,4,1,1,1
"Fatty Acid Elongation In Mitochondria",35,25.2,1,1,1,1
"Citric Acid Cycle",32,23.1,1,1,1,1
"Starch and Sucrose Metabolism",31,22.3,1,1,1,1
"Pyruvate Metabolism",48,34.6,1,1,1,1
"Tryptophan Metabolism",60,43.2,6,1,1,1
"Glutamate Metabolism",49,35.3,2,1,1,1
"Arachidonic Acid Metabolism",69,49.7,1,1,1,1
"Gluconeogenesis",35,25.2,1,1,1,1
"Steroidogenesis",43,31,5,1,1,1
"Warburg Effect",58,41.8,1,1,1,1
