"","total","expected","hits","Raw p","Holm p","FDR"
"Alpha Linolenic Acid and Linoleic Acid Metabolism",19,5.07,3,0.918,1,1
"Carnitine Synthesis",22,5.87,3,0.959,1,1
"Beta Oxidation of Very Long Chain Fatty Acids",17,4.53,2,0.964,1,1
"Fatty Acid Biosynthesis",35,9.33,4,0.993,1,1
"Alanine Metabolism",17,4.53,1,0.995,1,1
"Glutathione Metabolism",21,5.6,1,0.999,1,1
"Pantothenate and CoA Biosynthesis",21,5.6,1,0.999,1,1
"Glycerolipid Metabolism",25,6.67,1,1,1,1
"Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",27,7.2,1,1,1,1
"Phospholipid Biosynthesis",29,7.73,1,1,1,1
"Ammonia Recycling",32,8.53,1,1,1,1
"Fatty acid Metabolism",43,11.5,2,1,1,1
"Fatty Acid Elongation In Mitochondria",35,9.33,1,1,1,1
"Porphyrin Metabolism",40,10.7,1,1,1,1
"Pyrimidine Metabolism",59,15.7,3,1,1,1
"Methionine Metabolism",43,11.5,1,1,1,1
"Bile Acid Biosynthesis",65,17.3,3,1,1,1
"Steroid Biosynthesis",48,12.8,1,1,1,1
"Glutamate Metabolism",49,13.1,1,1,1,1
"Arginine and Proline Metabolism",53,14.1,1,1,1,1
"Glycine and Serine Metabolism",59,15.7,1,1,1,1
"Purine Metabolism",74,19.7,1,1,1,1
