"","total","expected","hits","Raw p","Holm p","FDR"
"Alpha Linolenic Acid and Linoleic Acid Metabolism",19,8.16,7,0.78,1,1
"Malate-Aspartate Shuttle",10,4.3,2,0.97,1,1
"Glucose-Alanine Cycle",13,5.59,2,0.993,1,1
"Thiamine Metabolism",9,3.87,1,0.994,1,1
"Lactose Degradation",9,3.87,1,0.994,1,1
"De Novo Triacylglycerol Biosynthesis",9,3.87,1,0.994,1,1
"Alanine Metabolism",17,7.3,3,0.994,1,1
"Glycerol Phosphate Shuttle",11,4.73,1,0.998,1,1
"Trehalose Degradation",11,4.73,1,0.998,1,1
"Cardiolipin Biosynthesis",11,4.73,1,0.998,1,1
"Fatty Acid Biosynthesis",35,15,7,0.999,1,1
"Beta Oxidation of Very Long Chain Fatty Acids",17,7.3,2,0.999,1,1
"Arachidonic Acid Metabolism",69,29.6,18,0.999,1,1
"Carnitine Synthesis",22,9.45,3,0.999,1,1
"Lactose Synthesis",20,8.59,2,1,1,1
"Glycerolipid Metabolism",25,10.7,3,1,1,1
"Urea Cycle",29,12.5,4,1,1,1
"Glutathione Metabolism",21,9.02,2,1,1,1
"Betaine Metabolism",21,9.02,2,1,1,1
"Cysteine Metabolism",26,11.2,3,1,1,1
"Phosphatidylinositol Phosphate Metabolism",17,7.3,1,1,1,1
"Spermidine and Spermine Biosynthesis",18,7.73,1,1,1,1
"Ammonia Recycling",32,13.8,4,1,1,1
"Androstenedione Metabolism",24,10.3,2,1,1,1
"Mitochondrial Electron Transport Chain",19,8.16,1,1,1,1
"Glycolysis",25,10.7,2,1,1,1
"Vitamin B6 Metabolism",20,8.59,1,1,1,1
"Riboflavin Metabolism",20,8.59,1,1,1,1
"Oxidation of Branched Chain Fatty Acids",26,11.2,2,1,1,1
"Inositol Phosphate Metabolism",26,11.2,2,1,1,1
"Pantothenate and CoA Biosynthesis",21,9.02,1,1,1,1
"Fructose and Mannose Degradation",32,13.8,3,1,1,1
"Sulfate/Sulfite Metabolism",22,9.45,1,1,1,1
"Transfer of Acetyl Groups into Mitochondria",22,9.45,1,1,1,1
"Phenylalanine and Tyrosine Metabolism",28,12,2,1,1,1
"Amino Sugar Metabolism",33,14.2,3,1,1,1
"Folate Metabolism",29,12.5,2,1,1,1
"Estrone Metabolism",24,10.3,1,1,1,1
"Lysine Degradation",30,12.9,2,1,1,1
"Aspartate Metabolism",35,15,3,1,1,1
"Gluconeogenesis",35,15,3,1,1,1
"Sphingolipid Metabolism",40,17.2,4,1,1,1
"Phytanic Acid Peroxisomal Oxidation",26,11.2,1,1,1,1
"Plasmalogen Synthesis",26,11.2,1,1,1,1
"Citric Acid Cycle",32,13.8,2,1,1,1
"Nicotinate and Nicotinamide Metabolism",37,15.9,3,1,1,1
"Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",27,11.6,1,1,1,1
"Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",27,11.6,1,1,1,1
"Inositol Metabolism",33,14.2,2,1,1,1
"Selenoamino Acid Metabolism",28,12,1,1,1,1
"Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",28,12,1,1,1,1
"Beta-Alanine Metabolism",34,14.6,2,1,1,1
"Phospholipid Biosynthesis",29,12.5,1,1,1,1
"Pentose Phosphate Pathway",29,12.5,1,1,1,1
"Starch and Sucrose Metabolism",31,13.3,1,1,1,1
"Propanoate Metabolism",42,18,3,1,1,1
"Arginine and Proline Metabolism",53,22.8,5,1,1,1
"Androgen and Estrogen Metabolism",33,14.2,1,1,1,1
"Glutamate Metabolism",49,21.1,4,1,1,1
"Fatty Acid Elongation In Mitochondria",35,15,1,1,1,1
"Bile Acid Biosynthesis",65,27.9,7,1,1,1
"Histidine Metabolism",43,18.5,2,1,1,1
"Fatty acid Metabolism",43,18.5,2,1,1,1
"Steroidogenesis",43,18.5,2,1,1,1
"Galactose Metabolism",38,16.3,1,1,1,1
"Warburg Effect",58,24.9,4,1,1,1
"Steroid Biosynthesis",48,20.6,2,1,1,1
"Pyruvate Metabolism",48,20.6,2,1,1,1
"Glycine and Serine Metabolism",59,25.4,4,1,1,1
"Methionine Metabolism",43,18.5,1,1,1,1
"Valine, Leucine and Isoleucine Degradation",60,25.8,3,1,1,1
"Pyrimidine Metabolism",59,25.4,2,1,1,1
"Tryptophan Metabolism",60,25.8,2,1,1,1
"Purine Metabolism",74,31.8,3,1,1,1
"Tyrosine Metabolism",72,30.9,2,1,1,1
